#counter ; numSamples ; MEAN; VAR; STD; CVAR; MIN; MAX; COV; CORR
batch means autocorrelation (lag=75);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.1163631832189083;0.006327403811342522
batch means autocorrelation (lag=76);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.8570957683282643;0.010525781411625208
batch means autocorrelation (lag=77);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;2.337461703040276;0.013248434121625843
batch means autocorrelation (lag=78);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;2.78541613064192;0.015787382552674742
batch means autocorrelation (lag=79);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;2.711222262253358;0.015366861191278341
batch means autocorrelation (lag=80);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;2.248226641756929;0.012742661201704213
batch means autocorrelation (lag=81);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.5785706372140567;0.008947136573943262
batch means autocorrelation (lag=82);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.429277476202202;0.00810096202233361
batch means autocorrelation (lag=83);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.6481585268979302;0.009341551836850301
batch means autocorrelation (lag=84);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;1.3405988776545144;0.007598343062061858
batch means autocorrelation (lag=85);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;0.35597410056325884;0.0020176156957708606
batch means autocorrelation (lag=86);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.4369828748907025;-0.008144635237074491
batch means autocorrelation (lag=87);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-3.184861535882561;-0.018051388046169486
batch means autocorrelation (lag=88);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-4.498376821896045;-0.025496224773061658
batch means autocorrelation (lag=89);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-5.139813615721636;-0.029131806521901463
batch means autocorrelation (lag=90);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-5.093418681167009;-0.02886884596377782
batch means autocorrelation (lag=91);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-4.341698323735528;-0.02460819107460362
batch means autocorrelation (lag=92);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-3.997465554222998;-0.022657123742266246
batch means autocorrelation (lag=93);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-3.4378351949715977;-0.019485210406804752
batch means autocorrelation (lag=94);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-2.551867671311328;-0.014463659741035055
batch means autocorrelation (lag=95);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.6224106607145359;-0.009195616222821008
batch means autocorrelation (lag=96);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-1.094876326795486;-0.006205619055923307
batch means autocorrelation (lag=97);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-0.9305109066206683;-0.005274016866151771
batch means autocorrelation (lag=98);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-0.4996476530019436;-0.0028319390243747486
batch means autocorrelation (lag=99);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;-0.02126579997434419;-1.205318357247614E-4
batch means autocorrelation (lag=100);862;15.779444315545252;176.43305477322505;13.282810499785993;0.8417793576355741;0.0472;56.30309999999999;0.7076126845737463;0.004010658237954691
